ID_CI,NTRA_CI,FHA_DE_INI,HRA_DE_INI,ID_TEXP,RMEN_DE_HCHOS
927,FG-UIFERV/384/2025,2025-05-03,20:00:00,1,"REFIERE EL DENUNCIANTE QUE EL DÍA TRES DE MAYO  DE DOS MIL VEINTICINCO, APROXIMADAMENTE A LAS DIECISÉIS HORAS IBA A BORDO DE SU MOTOCICLETA MARCA ITALIKA, TIPO RC200, MODELO 2025, NÚMERO DE SERIE 3SCK3EJC5S1000701, CON NÚMERO DE MOTOR LC163FML074823E4, SIN PLACAS DE CIRCULACIÓN, YA QUE ACUDIÓ A TRABAJAR A LA PLAZA COMERCIAL APIZACO, LA CUAL ESTÁ UBICADA EN  AVENIDA 16 DE SEPTIEMBRE, COLONIA FERROCARRILERA, APIZACO, TLAXCALA, LA ESTACIONÓ Y SE FUE A TRABAJAR, SIENDO ASÍ A LAS DIECISIETE HORAS CON TREINTA MINUTOS BAJÓ Y AL ASOMARSE A VER SU MOTOCICLETA YA NO SE ENCONTRABA EN EL LUGAR DONDE LA HABÍA ESTACIONADO, REALIZÓ SU REPORTE AL 911, Y LE DIERON EL FOLIO 2505032313."
928,FG-UIFERV/385/2025,2025-05-03,18:20:00,1,"MANIFIESTA EL COMPARECIENTE QUE EL DÍA DE AYER DOS DE MAYO DEL PRESENTE AÑO, DEJÓ ESTACIONADA SU CAMIONETA MARCA FORD, MODELO RANGER SUPER CAB 4X2, MODELO 2001, CON NÚMERO DE IDENTIFICACIÓN 1FTCR14C71PA06514, CON PLACA NJM8915 PARTICULARES DEL ESTADO DE MÉXICO; COLOR BLANCA, SIENDO APROXIMADAMENTE LAS DIEZ DE LA NOCHE, DEJÓ SU CAMIONETA ESTACIONADA FRENTE A SU DOMICILIO UBICADO EN CALLE NARANJO NÚMERO SEIS, DE LA POBLACIÓN DE SANTIAGO CUAULA, MUNICIPIO DE CALPULALPAN, TLAXCALA, DEJÁNDOLA BIEN CERRADA DE AMBAS PUERTAS, ES DECIR, CON LOS VIDRIOS ARRIBA Y CON LOS SEGUROS PUESTOS, POR LO QUE SE METIÓ A SU DOMICILIO A DESCANSAR Y AL DESPERTAR AL DÍA SIGUIENTE, ES DECIR, EL DÍA TRES DE MAYO DEL AÑO EN CURSO, SIENDO APROXIMADAMENTE LAS OCHO DE LA MAÑANA SALIÓ DE SU DOMICILIO PARA IR A COMPRAR PARA DESAYUNAR, SE PERCATÓ QUE SU CAMIONETA YA NO SE ENCONTRABA FRENTE A SU DOMICILIO DONDE LA HABÍA DEJADO LA NOCHE ANTERIOR, POR LO QUE PREGUNTÓ CON ALGUNOS VECINOS SI LA HABÍAN VISTO PERO SU RESPUESTA FUE DE QUE NO LA HABÍAN VISTO PASAR POR ESOS MOMENTOS; POR LO QUE LLAMÓ AL TELÉFONO 911 PARA DENUNCIAR EL REPORTE DE ROBO, A LO CUAL LO ATIENDE UNA PERSONA PROPORCIONÁNDOLE EL SIGUIENTE NÚMERO DE FOLIO 2505031542 Y LE DIJERON QUE SE TRASLADARA A LA FISCALÍA GENERAL DE JUSTICIA DEL ESTADO, PARA REALIZAR SU FORMAL DENUNCIA, SIENDO EL MONTO DE LO ROBADO POR LA CANTIDAD DE NOVENTA MIL PESOS"
929,FG-UITLAXD-2/110/2025,2025-05-03,17:00:00,1,"LA PERSONA SUSTRAE MERCANCIA DE BODEGA AURRERA SIN REALIZAR EL PAGO"
930,FG-UIFERV/381/2025,2025-05-03,13:00:00,1,"QUE EL DÍA SÁBADO TRES DE MAYO DEL AÑO DOS MIL VEINTICINCO AL SER APROXIMADAMENTE A LAS OCHO HORAS CON CUARENTA MINUTOS, SE ENCONTRABA CIRCULANDO ABORDO DE SU  MOTOCICLETA  MARCA CF MOTO, MODELO 450SR S, AÑO 2024, COLOR GRIS CON DETALLES EN NEGRO Y AZUL, NUMERO DE SERIE LCEPESLE5R6001643, MOTOR 272MQRA040003, CON PLACAS DE CIRCULACIÓN 52KLG3 PARTICULARES DEL ESTADO DE MÉXICO, SOBRE CAMINO A CARRETERA MUÑOZ , SAN JOSÉ TEXOPA, MUNICIPIO DE MUÑOZ DE DOMINGO ARENAS, TLAXCALA,  COMO REFERENCIA A UN KILÓMETRO DE “PULQUES DOÑA CECY” POR LO QUE AL IR CIRCULANDO DE MANERA NORMAL Y EN LA ÚLTIMA CURVA DE ESE CAMINO  UN VEHÍCULO COLOR BLANCO, MARCA JETTA ESTACIONADO DEL CUAL ESTABAN CUATRO PERSONAS APROXIMADAMENTE LO INTERCEPTAN Y LO DESPOJAN DE SU MOTOCICLETA , FOLIO DE  911 ES 2505030968, EL VALOR APROXIMADO DE O ROBADO ES DE $144,800.00 (CIENTO CUARENTA Y CUATRO MIL OCHOCIENTOS"
931,FG-UIFERV/383/2025,2025-05-03,15:30:00,1,"REFIERE EL DENUNCIANTE QUE EL DÍA DE HOY SE ENCONTRABA EN EL INTERIOR DE SU DOMICILIO UBICADO EN CALLE VILLAHERMOSA, NÚMERO 26, SANTA CRUZ QUILEHTLA, TLAXCALA, Y SIENDO APROXIMADAMENTE LAS DOCE HORAS SALIÓ Y ME PERCATÉ DE QUE MI UNIDAD MARCA: YAMAHA, COLOR: NEGRA, MODELO: 2020, TIPO:  FZS, NIV: ME1RG2685L3010328, CON NÚMERO DE MOTOR: G3M6E0020459, CON PLACAS DE CIRCULACIÓN 80XUW9 PARTICULARES DEL ESTADO DE TLAXCALA, YA NO SE ENCONTRABA FUERA DE SU DOMICILIO DONDE LA DEJÓ ESTACIONADA, SE DIRIGIÓ A LA COMANDANCIA MUNICIPAL DE SANTA CRUZ QUILEHTLA PARA INFORMAR LO ACONTECIDO, LE REALIZARON UNA BREVE ENTREVISTA RESPECTO DE LOS HECHOS, LLAMÓ 911 PARA REPORTAR EL HECHO ACONTECIDO, LE PROPORCIONARON EL SIGUIENTE NÚMERO DE FOLIO 2505031440, EL MONTO DE LA MOTOCICLETA QUE ME FUE SUSTRAÍDA ASCIENDE A LA CANTIDAD DE CUARENTA MIL PESOS"
932,FG-UITLAXD-3/111/2025,2025-05-03,21:30:00,1,"EL INVESTIGADO ADOPTA UNA APTITUD AGRESIVA QUERIENDO AGREDIR A UN OFICIAL DE POLICIA CON UN PALOPOSTERIORMENET AFROCE UNA CANTIDAD PARA QUE NO SEA DETENIDO"
933,FG-UIFERV/382/2025,2025-05-03,12:20:00,1,"MANIFIESTA LA COMPARECIENTE QUE EL DÍA DOS DE MAYO DEL AÑO EN CURSO, SE ENCONTRABA EN SU DOMICILIO UBICADO EN CARRETERA VÍA CORTA SANTA ANA-PUEBLA, SIN NÚMERO, BARRIO TECPA MORALES, LA MAGDALENA TLALTELULCO, TLAXCALA; COMO REFERENCIA SE ENCUENTRA A UN COSTADO DE LA GASOLINERA “SERVICIO LA CORTA BEPAJ S.A DE C.V.,” Y/O ANTES DE LLEGAR AL PUENTE PRINCIPAL DE LA MAGDALENA TLALTELULCO, SIENDO APROXIMADAMENTE LAS VEINTITRÉS HORAS CON VEINTE MINUTOS, CUANDO SU HERMANA DE NOMBRE REBECA PLUMA LEÓN, SALIÓ DE LA CASA CON RUMBO A LA TIENDA DE AUTOSERVICIO DENOMINADO OXXO Y CUANDO REGRESO A CASA, SE PERCATÓ QUE TODAVÍA SE ENCONTRABA EL VEHÍCULO ESTACIONADO, TRANSCURRIERON UNOS DIEZ MINUTOS APROXIMADAMENTE Y CUANDO SALIERON DE CASA PORQUE IBA A DEJAR A SU HERMANA SU CENTRO DE TRABAJO; SE DIERON CUENTA QUE EL VEHÍCULO MARCA NISSAN, MODELO TSURU, MODELO 1994, COLOR BLANCO, CON NUMERO DE MOTOR E16-694178M, CON NÚMERO DE SERIE 4BAMB13-18919, CON PLACAS PARTICULARES XVH-631-A DEL ESTADO DE TLAXCALA, YA NO SE ENCONTRABA EN EL LUGAR DONDE LO HABÍA DEJADO ESTACIONADO HORAS ANTES"
934,"FG-UIAPIZ-I/073/2025 ",2025-05-04,13:00:00,1,"REFIERE EL DENUNCIANTE QUE EL DÍA TRES DE MAYO DEL DOS MIL VEINTICINCO, SIENDO APROXIMADAMENTE LAS VEINTIÚN HORAS CON TREINTA MINUTOS, ESTACIONO LA MOTOCICLETA MARCA ITALIKA, TIPO FT180, COLOR NEGRO CON ROJO, CON NÚMERO DE SERIE 3SCPFTLE9J1004233, CON NÚMERO DE MOTOR RW162FMK1081003864, MODELO 2018, CON PLACAS DE CIRCULACIÓN X9UB8 PARTICULARES DEL ESTADO DE TLAXCALA, EN EL ESTACIONAMIENTO DE SU DOMICILIO UBICADO EN CALLE LINDA VISTA NÚMERO 13, SAN LUIS APIZAQUITO, APIZACO, TLAXCALA, LA ASEGURA, Y SE DIRIGE AL INTERIOR DEL DOMICILIO PARA PODER DESCANSAR; POSTERIOR A ELLO, SIENDO ASÍ, EL DÍA CUATRO DE MAYO DEL AÑO DOS MIL VEINTICUATRO, SIENDO APROXIMADAMENTE LAS SIETE HORAS, AL INTENTAR OCUPAR LA MOTO Y SE DIRIGE AL LUGAR DONDE DEJO ESTACIONADO LA MOTOCICLETA, Y AL IR LLEGANDO SE PERCATA QUE SU UNIDAD NO SE ENCONTRABA EN EL LUGAR DONDE LA HABIA DEJA ESTACIONADA, REALIZA LA LLAMADA AL SERVICIO DE EMERGENCIA 911 PARA REPORTAR EL ROBO DE MOTOCICLETA, PROPORCIONÁNDOLE EL NÚMERO DE FOLIO 2505041658; AGREGANDO QUE EL MONTO TOTAL DE LO ROBADO ASCIENDE APROXIMADAMENTE A LA CANTIDAD TOTAL $23,000.00 PESOS."
935,FG-UIFERV/386/2025,2025-05-04,18:00:00,1,"REFIERE EL DENUNCIANTE QUE EL DÍA CUATRO DE MAYO DEL DOS MIL VEINTICINCO, SIENDO APROXIMADAMENTE LAS DOCE HORAS CON TREINTA MINUTOS, ESTACIONO LA VEHÍCULO MARCA CHRYSLER, TIPO SPIRIT, COLOR GRIS, CON NÚMERO DE SERIE MT592634, CON NÚMERO DE MOTOR HECHO EN MEXICO, MODELO 1991, CON PLACAS DE CIRCULACIÓN XVA-547-C PARTICULARES DEL ESTADO DE TLAXCALA, SOBRE AVENIDA JUÁREZ ENTRE CALLE EMILIO CARRANZA Y CALLE FRANCISCO SARABIA, COLONIA CENTRO, APIZACO, TLAXCALA, COMO REFERENCIA A UN COSTADO DEL RESTAURANTE DENOMINADO BUFFA WINGS, LO ASEGURA, Y SE DIRIGE AL MERCADO PARA REALIZAR ALGUNAS COMPRAS; POSTERIOR A ELLO, SIENDO APROXIMADAMENTE LAS CATORCE HORAS CON VEINTE MINUTOS, SE DIRIGE AL LUGAR DONDE DEJO ESTACIONADO EL VEHÍCULO, Y AL IR LLEGANDO SE PERCATA QUE SU UNIDAD NO SE ENCONTRABA EN EL LUGAR DONDE LA HABIA DEJA ESTACIONADO, REALIZA LA LLAMADA AL SERVICIO DE EMERGENCIA 911 PARA REPORTAR EL ROBO DE VEHÍCULO, PROPORCIONÁNDOLE EL NÚMERO DE FOLIO 2505041858; AGREGANDO QUE EL MONTO TOTAL DE LO ROBADO ASCIENDE APROXIMADAMENTE A LA CANTIDAD TOTAL $30,000.00 PESOS."
936,FG-UITLAXD-1/112/2025,2025-05-04,14:30:00,1,"REFIEREN LOS ELEMENTOS QUE EL DÍA 04 DE MAYO DEL AÑO 2025, AL ENCONTRARSE EN EL EJERCICIO DE SUS FUNCIONES SON INFORMADOS POR UNA PERSONA DEL SEXO MASCULINO  QUE ACUDIERAN A LAS INSTALACIONES DE LAS OFICINAS DEL UBR UBICADO EN CALLE FERROCARRIL NORTE DE LA COLONIA REFORMA,  YA QUE OBSERVA COMO UN MASCULINO SALE CON UNA CARRETILLA Y DOS BOTES DE PINTURA Y QUE ES CONOCIDO COMO RATERO, MOTIVO POR EL CUAL SE TRASLADAN INMEDIATAMENTE Y AL LLEGAR OBSERVAN CÓMO VA SALIENDO DE LAS INSTALACIONES DE LA UBR, EN ESE MOMENTO LES SEÑALA EL REPORTANTE COMO LA PERSONA EL LA QUE MOMENTOS ANTES SUSTRAE LOS BOTES DE PINTURA, EN ESE MOMENTO AL VER A LOS OFICIALES COMIENZAN A CORRER, PROCEDIENDO A DARLE ALCANCE, LOGRANDO DETENERLO, JUNTO CON LOS BOTES DE PINTURA Y LA CARRETILLA, MOTIVO POR EL CUAL PROCEDEN A LA DETENCIÓN DE QUIEN DIJO LLAMARSE DEL C. ARTURO RUIZ LOPEZ"
937,FG-UIAPIZ-D-2/098/2025,2025-05-04,01:30:00,1,"AL ENCONTRARNOS EN FUNCIONES DE SEGURIDAD, PREVENCIÓN, PERSECUCIÓN DEL DELITO Y FALTAS ADMINISTRATIVAS SOBRE AVENIDA DE LA CONSTITUCIÓN BARRIO DE SAN ANTONIO CUAPIAXTLA, TLAXCALA MOMENTO EN EL QUE SE RECIBE VIA RADIO TRASMISOR REPORTE DE LA RADIO OPERADORA EDITH ARIADNA MORENO VALADEZ, PARA QUE NOS TRASLADÁRAMOS INMEDIATAMENTE EN TRAMO CARRETERO MÉXICO VERACRUZ KILÓMETRO 160, BARRIO DE SAN ANTONIO CUAPIAXTLA, TLAXCALA, COMO REFERENCIA A UN COSTADO DE MOFLES PEÑA, EN LA COCINA ECONÓMICA DE COLOR VERDE, YA QUE REPORTAN QUE EN LA ZONA SE ESTÁ LLEVANDO SUSCITANDO UNA RIÑA, ENTRE VARIOS MASCULINOS UNO DE ELLOS ARMADO CON ARMA DE FUEGO AL PARECER POR LA VENTA Y DISTRIBUCIÓN DE SUSTANCIAS ILÍCITAS, SOLICITANDO EL APOYO, TRASLADÁNDONOS INMEDIATAMENTE A DICHA UBICACIÓN ARRIBANDO A LAS 20:46 HORAS EN TRAMO CARRETERO MÉXICO VERACRUZ KILÓMETRO 160, BARRIO DE SAN ANTONIO CUAPIAXTLA, TLAXCALA, CON GEORREFERENCIAS 19.301900, -97.768805 EFECTIVAMENTE SE OBSERVA UNA AGLOMERACIÓN DE PERSONAS DEL SEXO MASCULINO Y FEMENINO, AL REALIZAR INSPECCION AL MASCULINO LE ES ENCONTRADO UN OBJETO CON CARACTERITICAS DE UN ARMA DE FUEGO, A LA FEMENINA LE ES ENCONTRADO BOLSAS CON CRISTAL Y COCAINA, POR LO QUE REALIZAN LA DETENCION DE AMBAS PERSONAS."
